City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
8,Saint-Philippe,RE,75.22,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
12,Atuona,PF,77.59,light rain,-9.8,-139.0333,Villa Enata
19,Loandjili,CG,78.12,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
41,Poum,NC,75.43,light rain,-20.2333,164.0167,Gîte kajeon
43,Namibe,AO,75.83,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
46,Itarema,BR,89.28,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
49,Victoria,HK,80.33,light rain,22.2855,114.1577,Mini Hotel Central
51,Baguanos,CU,85.5,broken clouds,20.7517,-76.0269,Magalis y William
52,Hithadhoo,MV,82.81,broken clouds,-0.6,73.0833,Scoop Guest House
54,Kavaratti,IN,82.15,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
62,Koungou,YT,78.51,clear sky,-12.7336,45.2042,Villa Netibor
63,Grand Gaube,MU,75.38,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
66,Tuy Hoa,VN,77.74,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
69,Bowen,AU,76.48,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
70,Port Hedland,AU,77.05,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
71,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
80,Bengkulu,ID,76.64,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
81,Prieska,ZA,79.36,clear sky,-29.6641,22.7474,Avenue GuestHouse
82,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
89,Ponta Do Sol,PT,84.7,overcast clouds,32.6667,-17.1,Hotel do Campo
93,Jibuti,DJ,82.72,overcast clouds,11.5,42.5,Orchid Main Camp Goubet
97,Saint-Pierre,RE,75.29,few clouds,-21.3393,55.4781,Lindsey Hôtel
104,Remedios,CU,81.5,overcast clouds,22.4947,-79.5458,Hostal Yunai
107,Yulara,AU,76.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
108,Topolobampo,MX,79.05,overcast clouds,25.6,-109.05,Hotel Marina Topolobampo
112,Anito,PH,78.31,moderate rain,12.4497,125.2886,FELIPA LAODENIO PROPERTY
116,Manokwari,ID,78.08,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
119,Lubango,AO,76.6,scattered clouds,-14.9172,13.4925,Hotel Serra da Chela
123,Salaga,GH,87.04,broken clouds,8.5508,-0.5188,Bore Nada Guest House
124,Port-Gentil,GA,82.36,light rain,-0.7193,8.7815,Fengshui Residence
125,Butaritari,KI,82.33,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
126,Tarbes,FR,77.11,clear sky,43.25,0.1667,Quelle Vue (Gite Rural)
127,Hirara,JP,77.49,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
133,Arcachon,FR,82.45,clear sky,44.5875,-1.0519,Hôtel All Suites Le Teich
142,Cayenne,GF,89.64,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
143,Meulaboh,ID,77.59,overcast clouds,4.1363,96.1285,Kost Pria
144,Bereda,ES,78.42,broken clouds,43.2686,-7.5406,Pazo de Verdes
145,Qui Nhon,VN,77.97,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
149,Buala,SB,79.02,light rain,-8.145,159.5921,Maringe Lagoon Lodge
150,Ibra,OM,87.04,few clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
151,San Cristobal,VE,78.98,few clouds,7.7669,-72.225,Posada Villaven C.A.
158,Zabid,YE,88.29,few clouds,14.1951,43.3152,دار الضيافة
163,Tundla,IN,77.59,clear sky,27.2,78.2833,"Gulab Resort, NH 2 Tundla"
166,Poso,ID,77.14,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
167,Peniche,PT,81.88,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
172,Torrijos,ES,79.84,scattered clouds,39.9819,-4.2835,Hotel La Salve
177,Los Llanos De Aridane,ES,78.12,overcast clouds,28.6585,-17.9182,Valle Aridane
179,Tizimin,MX,88.61,overcast clouds,21.15,-88.15,silva hogar
184,Oistins,BB,84.29,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
189,Yarada,IN,83.14,light rain,17.65,83.2667,Vishranti
191,Sur,OM,84.88,clear sky,22.5667,59.5289,Sur Plaza Hotel
192,Puerto Escondido,MX,84.69,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
198,Pedasi,PA,80.46,overcast clouds,7.5333,-80.0333,Selina Pedasi
201,Pasni,PK,80.2,clear sky,25.2631,63.471,Kashmiri Hotal
202,Yendi,GH,86.05,broken clouds,9.4427,-0.0099,Eyarro Lodge
203,Saldanha,ZA,82.45,clear sky,-33.0117,17.9442,Blue Bay Lodge
205,Harper,LR,81.7,broken clouds,4.375,-7.7169,Screensaver
207,Dingle,PH,77.52,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
212,Sadiqabad,PK,82.74,clear sky,28.3062,70.1307,MIDWAY HOTEL & RESTAURANT
213,Sinnamary,GF,83.32,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
229,Safaga,EG,81.55,scattered clouds,26.7292,33.9365,Lamar Resort Abu Soma
230,Marsh Harbour,BS,78.01,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
236,Bolobo,CD,76.68,light rain,-2.1667,16.2333,Hotel de Stephen
237,Gainesville,US,78.78,scattered clouds,29.6516,-82.3248,"Holiday Inn Gainesville-University Ctr, an IHG Hotel"
242,Caravelas,BR,85.44,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
243,Tamandare,BR,83.5,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
249,Bafq,IR,76.64,clear sky,31.6128,55.4107,Alamdar Hotel
250,San Andres,CO,83.16,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
255,Belmonte,BR,82.9,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
256,Buritis,BR,80.96,overcast clouds,-15.6178,-46.4233,Hotel Rainha do Vale
259,Kibala,TD,83.21,overcast clouds,9.1104,18.3463,hotel safari
266,Isangel,VU,77.11,overcast clouds,-19.55,169.2667,Tanna Lodge
267,Eydhafushi,MV,82.33,scattered clouds,5.1033,73.0708,Soneva Fushi
269,Vila Velha,BR,76.95,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
272,Presidencia Roque Saenz Pena,AR,83.5,clear sky,-26.7852,-60.4388,Hotel Aconcagua
276,Port Blair,IN,81.07,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
277,Aljezur,PT,77.86,broken clouds,37.3191,-8.8033,Amazigh Hostel
279,San Patricio,US,82.02,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
280,Marang,MY,80.85,overcast clouds,5.2056,103.2059,DBarakah Homestay
282,Georgetown,MY,78.75,scattered clouds,5.4112,100.3354,Cititel Penang
287,Tezu,IN,76.15,overcast clouds,27.9167,96.1667,Circuit House
290,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
292,Alyangula,AU,82.27,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
295,Kavieng,PG,82.69,few clouds,-2.5744,150.7967,Nusa Island Retreat
298,Tautira,PF,77.02,light rain,-17.7333,-149.15,Pension Oaoa
301,Eyl,SO,79.39,clear sky,7.9803,49.8164,Amiin Hotel
303,Kasempa,ZM,76.1,broken clouds,-13.4584,25.8338,Lolelunga Forest Reserve
304,Lorengau,PG,81.73,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
305,Kloulklubed,PW,83.86,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
307,Road Town,VG,87.21,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
311,Biak,ID,77.2,overcast clouds,-0.9131,122.8766,Penginapan Kim
