City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Leningradskiy,RU,2021-10-15 02:22:42,69.3833,178.4167,19.35,94,100,7.14
1,Atuona,PF,2021-10-15 02:22:42,-9.8,-139.0333,78.01,78,16,17.47
2,Eyl,SO,2021-10-15 02:22:43,7.9803,49.8164,77.59,82,88,9.55
3,Brae,GB,2021-10-15 02:22:43,60.3964,-1.353,42.71,62,100,23.67
4,Blagoveshchenka,RU,2021-10-15 02:22:43,52.8333,79.8667,35.17,82,1,9.71
5,San Patricio,US,2021-10-15 02:22:44,28.017,-97.5169,82.26,85,8,8.68
6,Sable-Sur-Sarthe,FR,2021-10-15 02:22:44,47.8376,-0.3329,43.56,75,100,3.85
7,Butaritari,KI,2021-10-15 02:22:44,3.0707,172.7902,82.81,69,53,16.24
8,Hermanus,ZA,2021-10-15 02:22:45,-34.4187,19.2345,56.89,81,50,8.93
9,Tateyama,JP,2021-10-15 02:22:45,34.9833,139.8667,75.47,64,50,6.02
10,Rikitea,PF,2021-10-15 02:22:45,-23.1203,-134.9692,74.91,72,70,4.03
11,Arequipa,PE,2021-10-15 02:22:46,-16.3989,-71.535,59.07,38,0,0.0
12,Lebu,CL,2021-10-15 02:22:46,-37.6167,-73.65,46.11,72,4,6.55
13,Avarua,CK,2021-10-15 02:22:47,-21.2078,-159.775,78.85,65,6,8.05
14,Grasten,DK,2021-10-15 02:22:47,54.9192,9.5952,55.56,92,90,10.0
15,Ushuaia,AR,2021-10-15 02:22:48,-54.8,-68.3,40.66,52,20,5.75
16,Carnarvon,AU,2021-10-15 02:22:48,-24.8667,113.6333,77.07,57,0,10.36
17,Erzin,TR,2021-10-15 02:22:48,36.9559,36.2,57.92,64,0,3.06
18,Port Lincoln,AU,2021-10-15 02:20:39,-34.7333,135.8667,60.22,65,78,17.83
19,Mar Del Plata,AR,2021-10-15 02:21:29,-38.0023,-57.5575,53.1,28,90,4.0
20,Vaini,TO,2021-10-15 02:22:49,-21.2,-175.2,80.76,78,75,14.97
21,Omidiyeh,IR,2021-10-15 02:22:49,30.7597,49.705,71.47,33,0,4.61
22,Bluff,NZ,2021-10-15 02:22:50,-46.6,168.3333,50.77,65,61,17.02
23,Nikolskoye,RU,2021-10-15 02:22:51,59.7035,30.7861,41.88,83,37,6.31
24,Bethel,US,2021-10-15 02:22:51,41.3712,-73.414,64.85,90,1,4.61
25,El Cobre,CU,2021-10-15 02:22:51,20.0489,-75.9469,78.24,89,40,4.61
26,Tilichiki,RU,2021-10-15 02:22:52,60.4667,166.1,26.49,48,3,6.98
27,Busselton,AU,2021-10-15 02:22:52,-33.65,115.3333,67.08,55,99,8.55
28,Nelson Bay,AU,2021-10-15 02:22:48,-32.7167,152.15,75.76,40,13,4.0
29,Arraial Do Cabo,BR,2021-10-15 02:22:15,-22.9661,-42.0278,73.36,94,40,17.27
30,Mataura,NZ,2021-10-15 02:22:53,-46.1927,168.8643,57.97,47,20,7.38
31,Condado,CU,2021-10-15 02:22:53,21.8767,-79.8403,74.25,90,16,5.39
32,Gorele,TR,2021-10-15 02:22:54,41.0308,39.0031,63.84,87,88,3.58
33,Parkes,AU,2021-10-15 02:22:54,-33.1333,148.1833,55.35,77,86,11.56
34,Cordoba,AR,2021-10-15 02:22:55,-31.4135,-64.1811,55.76,52,90,5.01
35,Kansk,RU,2021-10-15 02:22:55,56.2017,95.7175,26.65,50,29,5.08
36,Kampot,KH,2021-10-15 02:22:55,10.6167,104.1833,80.65,76,100,3.02
37,Mizan Teferi,ET,2021-10-15 02:22:56,6.9833,35.5833,59.65,90,7,3.51
38,Phanat Nikhom,TH,2021-10-15 02:18:40,13.4458,101.1844,87.17,99,100,4.16
39,Bambous Virieux,MU,2021-10-15 02:22:56,-20.3428,57.7575,71.85,78,40,6.91
40,Comodoro Rivadavia,AR,2021-10-15 02:22:57,-45.8667,-67.5,49.86,27,0,14.97
41,Caravelas,BR,2021-10-15 02:22:57,-17.7125,-39.2481,76.21,90,89,8.43
42,Thompson,CA,2021-10-15 02:22:58,55.7435,-97.8558,39.36,93,90,8.05
43,Pevek,RU,2021-10-15 02:22:58,69.7008,170.3133,20.37,92,100,1.34
44,Coalinga,US,2021-10-15 02:22:58,36.1397,-120.3602,70.34,38,0,5.08
45,Goryachegorsk,RU,2021-10-15 02:22:59,55.4053,88.9154,28.63,74,23,4.61
46,Chernigovka,RU,2021-10-15 02:22:59,44.3389,132.5728,47.08,52,6,8.5
47,Chanute,US,2021-10-15 02:23:00,37.6792,-95.4572,65.5,94,1,0.0
48,Forrest City,US,2021-10-15 02:23:00,35.0081,-90.7898,75.06,71,13,7.7
49,Callaway,US,2021-10-15 02:23:00,30.153,-85.5699,78.98,93,1,0.0
50,Havoysund,NO,2021-10-15 02:23:01,70.9963,24.6622,32.88,97,100,8.79
51,Ribeira Grande,PT,2021-10-15 02:23:02,38.5167,-28.7,70.68,84,35,12.24
52,Carnduff,CA,2021-10-15 02:23:02,49.1667,-101.8009,37.38,96,100,15.77
53,Port Blair,IN,2021-10-15 02:23:03,11.6667,92.75,81.12,85,99,15.55
54,Hamilton,US,2021-10-15 02:18:25,39.1834,-84.5333,74.77,83,75,1.01
55,Pangnirtung,CA,2021-10-15 02:23:03,66.1451,-65.7125,26.47,66,97,2.62
56,Yellowknife,CA,2021-10-15 02:23:04,62.456,-114.3525,40.41,98,20,6.91
57,East London,ZA,2021-10-15 02:23:04,-33.0153,27.9116,63.55,74,100,12.55
58,Popondetta,PG,2021-10-15 02:23:05,-8.7537,148.2534,91.17,55,91,4.56
